Cmd #28   '+'	Ptr: 2    	Tape: [59]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #29   '+'	Ptr: 2    	Tape: [60]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #30   '>'	Ptr: 3    	Tape:   5  42  60 [15]   5   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:   5  42  60 [16]   5   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:   5  42  60 [17]   5   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:   5  42  60 [18]   5   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:  42  60  18 [5]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:  42  60  18 [6]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:   5  42  60 [18]   6   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [60]  18   6   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [42]  60  18   6	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [5]  42  60  18	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [4]  42  60  18	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [4]  42  60  18	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [4]  42  60  18	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [42]  60  18   6	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [43]  60  18   6	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [44]  60  18   6	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [45]  60  18   6	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [46]  60  18   6	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [47]  60  18   6	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [48]  60  18   6	Output: 	Desc: Incrementa o valor na célula atual.
